"wordId","word","topicId","dov","dovDelta","composition","dod","dodDelta","numDocs"
"W8821","wordplay","T81","0.04252170840391175","-0.2","0.18180354668521845","0.0011478940251414833","-0.2","1"
"W8822","ideologue","T6","0.01436362823016333","-0.2","0.06141236214468256","0.0011478940251414833","-0.2","1"
"W8823","rearrange","T6","0.07173922681894873","0.28238517748242237","0.30672440881844704","0.008035258175990384","0.23300649516021132","7"
"W8824","spasmodically","T47","0.0","NaN","0.0","0.0","NaN","0"
"W8825","partway","T83","0.06222672694582016","-0.2","0.26605327212869045","0.0034436820754244505","-0.2","3"
"W8826","divinely","T83","0.0","NaN","0.0","0.0","NaN","0"
"W8827","uneven","T6","0.018264337298067382","-0.2","0.07809002561943869","0.0011478940251414833","-0.2","1"
"W8828","molecular","T5","0.06678177505901439","-0.07685959811180369","0.2855285926975212","0.0057394701257074176","-0.10270547769392678","5"
"W8829","undersell","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8830","impend","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8831","eon","T5","0.0","NaN","0.0","0.0","NaN","0"
"W8832","divine","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8833","pillory","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8834","headacheum","T83","0.0","NaN","0.0","0.0","NaN","0"
"W8835","spoiler","T38","0.04436663034842347","0.0878708772014795","0.18969159647107242","0.008035258175990384","-0.009218995297471161","7"
"W8836","autistic","T52","0.0022247387248300774","-0.2","0.009511974137540765","0.0011478940251414833","-0.2","1"
"W8837","blogosphere","T96","0.04074332365530271","-0.2","0.1741999797824766","0.0022957880502829666","-0.2","2"
"W8838","reprogram","T77","0.1394183317524249","0.28666324620653183","0.5960895772286398","0.006887364150848901","-0.06435391030204997","6"
"W8839","disorient","T83","0.016127972301033744","-0.2","0.06895589747516259","0.0011478940251414833","-0.2","1"
"W8840","singleminded","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8841","literary","T38","0.05414101341868454","-0.2","0.23148242697942384","0.0034436820754244505","-0.2","3"
"W8842","rivulet","T76","0.0","NaN","0.0","0.0","NaN","0"
"W8843","digression","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8844","interlude","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8845","underpinning","T69","0.0563608646527995","-0.1647058215229804","0.24097350442255241","0.0034436820754244505","0.2918318394142153","3"
"W8846","cosmos","T53","0.0749125280964594","0.5906053422852484","0.32029200637290234","0.004591576100565933","-0.1194888253066288","4"
"W8847","soldier","T19","0.019321591629578812","0.4913931442165286","0.0826103658040632","0.0034436820754244505","-0.00541095538785355","3"
"W8848","theonomic","T83","0.0","NaN","0.0","0.0","NaN","0"
"W8849","defender","T71","0.06229165286184604","0.10256478689665072","0.26633086590956984","0.008035258175990384","-0.009218995297471161","7"
"W8850","notoriously","T85","0.10146563752051346","-0.006126925622106986","0.43382106364778894","0.008035258175990384","0.19571093779178522","7"
"W8851","doom","T47","0.28998647424114227","0.13018176581725296","1.2398506900755526","0.018366304402263733","0.04844578427434776","16"
"W8852","millennia","T83","0.02850197142881328","-0.2","0.12186150763411768","0.0011478940251414833","-0.2","1"
"W8853","subplot","T83","0.0","NaN","0.0","0.0","NaN","0"
"W8854","nerdify","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8855","whale","T38","0.006307011029378737","-0.2","0.026965919695229386","0.0011478940251414833","-0.2","1"
"W8856","marshal","T72","0.009283525892418196","-0.2","0.039692147760234865","0.0011478940251414833","-0.2","1"
"W8857","erudition","T83","0.0","NaN","0.0","0.0","NaN","0"
"W8858","adept","T83","0.057876992109153626","-0.2","0.24745577804556285","0.0022957880502829666","-0.2","2"
"W8859","syllable","T83","0.07182368670395531","NaN","0.3070855209943964","0.0022957880502829666","NaN","2"
"W8860","beget","T83","0.02615887005030964","-0.2","0.11184346845261109","0.0011478940251414833","-0.2","1"
"W8861","fictional","T38","0.05317216078383918","-0.2","0.22734005237027002","0.004591576100565933","-0.2","4"
"W8862","eponymous","T83","0.0","NaN","0.0","0.0","NaN","0"
"W8863","unwritten","T83","0.0","NaN","0.0","0.0","NaN","0"
"W8864","mysticism","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8865","loser","T83","0.08563462437250244","-0.2","0.36613482887590576","0.0022957880502829666","-0.2","2"
"W8866","paltry","T6","0.01918792097577119","-0.2","0.08203885069185002","0.0022957880502829666","-0.2","2"
"W8867","readme","T83","0.0","NaN","0.0","0.0","NaN","0"
"W8868","anti-cat-burning","T38","0.0","NaN","0.0","0.0","NaN","0"
"W8869","conjure","T5","0.015095958578403693","-0.2","0.06454347469055269","0.0011478940251414833","-0.2","1"
"W8870","golem","T94","0.0","NaN","0.0","0.0","NaN","0"
"W8871","triumphant","T6","0.02379933885992781","-0.2","0.10175518284444512","0.0011478940251414833","-0.2","1"
"W8872","routing","T36","0.6962419894667454","0.04284119608153249","2.9768150854583793","0.02180998647768818","0.01966116842089883","19"
"W8873","partition","T60","0.2806093790465004","0.04184335223522809","1.1997584824013665","0.0057394701257074176","-0.00541095538785355","5"
"W8874","expansive","T44","0.20815499505439972","0.28652431803911926","0.8899763857477704","0.008035258175990384","-0.10270547769392678","7"
"W8875","rollout","T36","0.2269796790579973","0.19179116278330732","0.9704621998306237","0.006887364150848901","0.17564194944853861","6"
"W8876","tcp","T42","0.18304378083017758","0.006503496304138249","0.782612218622352","0.0057394701257074176","0.09366997621283607","5"
"W8877","musicality","T80","0.010344338495165573","NaN","0.0442277014994188","0.0011478940251414833","NaN","1"
"W8878","trio","T80","0.010344338495165573","NaN","0.0442277014994188","0.0011478940251414833","NaN","1"
"W8879","squint","T17","0.016663848649983277","-0.2","0.07124706178818414","0.0022957880502829666","-0.2","2"
"W8880","mishmash","T53","0.11259645267285946","-0.0976563312070725","0.48141138276130585","0.0034436820754244505","-0.1597444126533144","3"
"W8881","adulthood","T23","0.009697687434511293","NaN","0.041462914742076494","0.0011478940251414833","NaN","1"
"W8882","sprinkle","T57","0.2801292423817745","0.3264236162542088","1.1977056357068827","0.008035258175990384","0.3723430141075866","7"
"W8883","machismo","T17","0.013254713239634086","NaN","0.05667114440395615","0.0011478940251414833","NaN","1"
